username,review,calificacion
Leonardo Vazquez Cruz,"Pésima atención por parte de los meseros. Ordene una bebida y un muffin. A lo cual le comenté al mesero que me diera tiempo de ordenar. Terminando de comer eso, se le ocurrió la brillante idea de llevarme la cuenta…",0
Cristian Garcia Diaz,Buen servicio Mauricio ,4
Moises Hernandez,Muy buena comida.,4
Eli Maximo,Excelente recomendacion de parte de Ernesto y excelente servicio,4
Peter Leig,Todo muy bien. Excelente servicio,4
Comercializadora Rosy,"Excelente servicio y muy buena comida, altamente recomendado.",4
Nate Schlabach,Muy bien comida,4
Miriam Mendoza,Comida muy buena y la atención de Ernesto excelente Gracias,4
Betlehem Zapien Cortes,Excelente servicio muy amables,4
Nandofer Montani,Pedí un plato que constaba de una costilla de res y 2 enchiladas! Lo que me sirvieron parecía chilaquiles con carne asada cortada por un valor de casi 400 pesos! Cuando les dije que no estaba contenta con mi plato ..simplemente no les…,0
Andrea Libertella,"La peor atención jamas recibida en mexico, un poco mas me atienden con desprecio. Para no volver mas",0
Alejandro Bautista,Tomas nos brindo excellente servicio gracias desde NY,4
Charles Large,"Excelente servicio, buena comida, café muy suave favor hacerlo más fuerte!",3
teffa correa,"Excelente servicio, la comida muy rica y muy rápida la preparación.",4
Daniel Esteban Pinos Gavilanes,"Excelente comida, buen servicio, buenos precios. Recomendado !",4
Diego Alejandro Ardila Torres,Ernesto chino excelente atención comida deliciosa,4
Yolanda A. Alcacio,"Muy mal servicio, estuve más de 40 minutos en la mesa y nisiquiera me preguntaron que iba a tomar y mucho menos que quería comer, me salí y ni una disculpa. No regreso así sea el último lugar para comer en el aeropuerto de México.",0
Claudia Solís,Excelente Servicio y unos meseros muy atentos. Felicidades!!!,4
Abraham Aldama,La comida muy rica y muy buen servicio,4
Carlos Nava,Exelente servicio.....,4
zeqky transporter,"En el aeropuerto de la Ciudad de México al no saber ni conocer por desgracia fui a parar a este ""restaurant"" Muy desagradable no lo recomiendo es mejor evitarlo los meseros y el servicio…",0
Fernando Delgado Mendoza,Excelente Servicio.!!,4
ALICIA SALAS,una excelente opción para desayunar. Gracias,4
Fernanda Zamora,"Excelente atención, comida deliciosa y un ambiente muy ameno",4
Leydi Analy Ulloa Galeana,Muy buen servicio y excelente sason,4
Junio Espitia,Excelente servicio ,4
Roberto Alvarez Valencia,Buena comida para tener prisa,4
Maritza Villacis,Excelente servicio y deliciosa comida!!!El camarero muy amable. Recomendado!!!!,4
Paloma lopez,Muy bien atendido con el mesero Ernesto,4
Gerardo Alcacio,"Pesimo servicio, 30 minutos y nunca nos atendieron los mesesros",0
Carlota Fernandez,"""Ahí no más la atención y caro pa lo que es. Nada recomendable""",1
Godual rosales,Buena atención y rapida,4
Jesus Reyes,"Increíble que los meseros te exijan la propina, muy mal",0
Angel Gonzalez,"Literal, te corren cuando acabas de comer! ASQUEROSO, JAMAS HABÍA VIVIDO ALGO ASÍ! Te hacen levantarte de tu mesa para que pase el siguiente, aunque no quieras!! VERGONZOSO!! sucursal terminal 2, zona puertas 63-72",0
Jessica torres,Mexicana Pizza Al ,4
Jacks T,I was at Salute Foodbar. It was very delicious. The workers were very friendly and quick. The food was amazing and at a good price. Me encanto…,4
Israel Peña,Nachos where great. Ricardo our server was outstanding. (Traducción de Google)…,3
THE W O W,Its a great place to seat down and eat. Food its awesome. Staff also excellent.…,4
Zuly Leon,"It was a good experience! Our waiter, Ernesto was very polite and friendly! Our food was served within minutes.…",4
Giovanna Becerra,"Amazing service, great attitude from the staff and the food was perfect. Just what I wanted. Good price as well for being an airport restaurant.…",4
Marcella Grimaux,The service was awesome! And Ernesto was the best!! A definite stop should you be stranded at the Mexico Coty airport.…,4
Raiza Bulhoes,(Traducción de Google) Muy lindo lugar con excelentes profesionales! El asistente Ernesto muy servicial :)…,4
Linda Birnie,What a way to start our trip to Mexico! We are at the airport having a late lunch at the airport at Salute Food & Bar. Excellent food: empanadas & tacos with an outstanding red wine. Food service excellent with Ernesto!…,4
Rocio Rodriguez,"Best service ever! Good music, clean place and reasonable prices. Not to mention the food, simply delicious. Highlights to Ernesto, helpful and kind!…",4
Aris Clemons,Back at CDMX airport and had to stop at my favorite spot for Chilaquiles and coffee. Miguel's service was the best! I'll always return!…,4
Bianca Rodrigues Serafim,"(Traducción de Google) Deliciosa pizza me encantó, buen lugar. Gran servicio del camarero Ernesto Chino.…",4
Joe Sanchez,Very professional and courteous. The food was delicious. We enjoyed Jocelyn very much!…,4
Mike,"Great stop for the in-between-flights wait at the airport. Friendly staff, good service and great enchiladas! Will definitely be back…",4
andrea celeste macias,We shared a wonderful meal before heading out if Mexico City airport. The servers were kind and attentive to our needs. ¡Hasta Luego!…,4
Melody-Maria Moreno,"Excellent service! Ernesto, the waiter recommended the tortilla soup which I love...a great place to wait for one's flight.…",4
Yvette Fonseca,Had a great experience at this restaurant the staff it's very friendly and the food it's delicious. Been at this location 6 times and the food is always on point.…,4
Luis Castro,"Great little spot to spend your time at while you wait for your flight. For example, Aeromexico didn’t let me board 5mins after boarding time which was at 10:10 and the flight left at 10:40 but some how “missed it” when in Houston they were…",3
Carlos Mercado,"Good breakfast, friendly service. Clean place. (Traducción de Google)…",4
Sven Barth,Ernesto is the man! Gracias! Nice portions!…,4
Renata González,(Traducción de Google) Gy5jjjjjjc (Original) Gy5jjjjjjc,4
Victor Rico,"While i was waiting for my flight, i went to get something to eat. No one wanted to help me and waiters are no good. If they feel you wont give them tips they wont serve you. Also, they dont make you feel welcome. Food cold and nasty.…",0
Jeffrey Faesen,Are was the nicest. Great food! (Traducción de Google) Are fue el más amable. ¡Buena comida!,4
Ericka Segura,"Good food and service, excellent. Tks (Traducción de Google) Buena comida y servicio, excelente. Tks",4
agustin sanchez jr,Great food. Great service. (Traducción de Google) Buena comida. Gran servicio.,4
Cristal Avalos,Awesome food and service! Muy  (Traducción de Google) Comida y servicio increíble! Muy ,4
Rosalia Dawn Barawid,Very kind waiters and great food! (Traducción de Google) Muy amables camareros y buena comida!,4
Bryan Batres,Great food! Ernesto attend us as 100 points! (Traducción de Google)…,4
Andrea Sayuri Murakami,"(Traducción de Google) Muy buena pizza, excelente servicio también (Original)…",4
Dayanand Kotian,Food is not good at all.. frozen food and too expensive for the food they serve.. secoundly condiments are not served along with the food.…,1
johanna martin,Food and service great.... (Traducción de Google) La comida y el servicio genial ...,4
Jon Willems,Antonio was fantastic and the service was exceptional. (Traducción de Google)…,4
Il contenitore ristorante,"If your flying out of terminal 2 and feel hungry or thirsty, avoid this place. Expensive as all airport places are but to add to the bad experience, service simply sucks. Their only redeeming point is that the croissant I had was halfway…",1
Zach EC,Tomas made us write a review in front of him while we were eating. Very weird. Also lied that more than 10% tip is expected in Mexico.…,0
luiz pagno,(Traducción de Google) Muy buen servicio (Original) Muito bom atendimento,4
Sonia Peltzer,(Traducción de Google) Delicioso (Original) Delicioso,4
Edier Diaz,,4
Tomas Gottfried,,4
Ariadna Lizarraga,,2
Nini Gomez,,0
Magaly Vargas,,4
Mary Plancarte,,4
Rogelio peña,,2
Danielly Escobar,,2
