username,review,calificacion
Oscar Ziur,muy caro,0
Lilibeth Gonzalez Villalobos,Servicio bueno,4
Nayeli Prior,Rico y buenos precios precios,4
Edward Villasana,Riquísima la cochinita.,4
sonia guzman arellano,Muy buen lugar atenciones,4
Isaac González Arellanes,Lindo ambiente para convivir,2
Alejandro Vega,Buen lugar para comer,3
Carlos Manuel López,Excelente sabor y servicio.,4
Eduardo Peña,Deliciosa,4
Ernesto ValMar,Miércoles 2x1 en tacos ufff,3
David Martinez,Excelente en todos los sentidos!,4
Flavio Martinez,"Ricos tacos, los miércoles los tacos son al 2x1",4
Lucy Anaisan clinic cosmetic ́s,Precios elevados y personal grosero,0
Jessica Gómez,Deliciosa!!!!,3
Erick Herrera Flores,,4
Azucena Iñiguez Gomez,,4
Gustavo Leon,"Excellent flavor and price, the mango sauce is delicious. (Traducción de Google)…",4
Ra Ma Jo Ro ja,(Traducción de Google) Sabrotza (Original) Sabrotza,4
Carlos Enrique Gonzalez Martinez,,4
Issa Jimm,,4
PATRICIA PLCH,,4
Edgar Ruiz Penedo,,4
Neelam Prem Yv,,4
Roberto Perez,,2
Kristian Rosas,,4
Gaby Ramirez,,4
Isabel Gonzalez Cruz,,4
Melanie Vences,,2
BRUNO SMITH,,4
Micke 'S,,4
Alejandro Avila,,3
Ana Aristizábal,,4
Mónica Juárez,,4
Javier Tadeo López,,4
Alan Efraín Ramírez Galindo,,4
Sandra Gómez Alcalá,,2
Alejandro Castañeda Garduño,,4
Nestor Espin,,3
Nelly Gomez,,4
Aranzazu Cruz,,2
Carolina Sanchez,,3
ROBERTO MONROY,,4
adolfo garcia,,4
Alejandro Serapio,,3
Araceli Glez,,4
Alfredo Souza,,4
Josue Martinez,,2
jorge david valdez sanchez,,0
Feer Llanas,,4
Salvador Lopez,,4
Enrique Flores,,4
gustavo murakami,,4
Diana L. Lopez P.,,4
Ery Horcasitas,,4
Alejandro Barkley,,4
Vlad Cruz,,4
norma arredondo,,4
Juan Manuel Hernández,,4
victor fuentes,,4
Jorge Neri Alvarez Trinidad,,4
laura ayala,,4
Karla González,,4
Juan Manuel Hernández,,4
Julio cesar Murillo,,4
spock Sanchez,,3
Fernando Gonzalez Arenas,,3
Claudia Cisneros,,4
Sharon Garcia,,2
Aline R.,,2
Cristina Barrera,,4
Tonatiuh Martinez Portillo,,4
Kary Monserrat Jaramillo Fdez,,4
Christian Romo,,4
Guadalupe Cabrera,,4
Adrian Torres,,3
Fernanda Hinojosa,,3
paola rodas,,4
Ricardo Salmeron,,4
Edwin Gutierrez,,3
Adry G,,4
Sandra Maydely Rueda Ramirez,,4
Hector Rosas,,4
Imelda Razo,,4
Hugo López,,4
Victor Espinosa,,3
Andres Rodríguez _R,,4
Liz,,4
Ariadne Hernandez,,4
Jorge Padilla,,4
Enrique Vázquez,,3
Ann Salazar,,3
Edgar Sánchez,,4
Stefhani Sinai Ortega Trujillo,,3
Paulina Quintana,,4
Mirsa Eileen Mandujano Zamora,,4
Luis Bocanegra (luisbocaper),,3
Javo,,4
alfonso piceno,,2
AAA,,3
Adriana González,,4
Alejandra García Razo,,4
Alejandro Resendiz Ruiz,,4
Estrella Zavala,,4
James Hernandez,,4
Arturo Cardoso,,4
Tirolesa Huatulco,,4
Daniel Miranda,,4
Jorge Zuñiga,,4
Meztli Velazquez,,4
Verónica Cortés,,4
Alex Sanchez,,4
Aldo Carrillo,,3
Karen Guevara Moreno,,4
Mauric Inc.,,4
Mariela Rivero,,4
Marco Garcia,,3
Dulce Ayala,,4
Ariadna Lizeet Orozco Samaniego,,4
Yadira,,4
Oscar Estrada,,4
María Luisa,,4
Andy V.,,4
Josefina Yañez,,4
Diego Rueda,,4
Kenia Cedillo Amador,,4
Operativo Ccd,,4
Luis Vidal Velazco,,3
Ivan Wereticki,,4
Miguel Ángel Silva Larios,,4
Javier Lopez,,3
Salvador Palomino,,3
Selma Ot,,3
Raquel Gutiérrez,,3
Jaime Ernesto Fuentes Dector,,4
Jesús Gerardo Vera Bautista,,3
Leonardo Ochoa,,2
Ram rn9,,3
Ivonne Moreno,,3
Alejandra Levario,,4
Eduardo Castro Valencia,,3
Jessica Cortes,,4
edson badillo,,4
Joel Sanchez,,4
Gonzalez Perez Carlos Alejandro,,4
Karen Salazar Rmz.,,2
Edna Torres,,3
erwin garcia,,4
Gabriela Gonzalez Villegas,,4
Jabi Picotazo,,4
Marco Pérez,,2
VW PERLA MORENO,,4
Michael Maslow,,3
Israel Simón santiago,,4
Pepe Cantero,,3
Gabriel Castañeda Garduño,,4
Edgar López,,4
Jair Ortega,,1
Nancy Carbajal,,2
Angel Castillo,,3
Juan Pablo Monterde,,4
Vladimir Beckinsale,,4
Oscar Gonzalez Cuevas,,4
zanty garcia,,4
Fernando Villegas,,4
Ixch Mendoza,,4
Giovanni Hernández,,2
macbeth bali,,4
MC Saol,,4
Jorge Chan,,4
Diego Alonso Palacios,,3
bren Pérez,,4
Gabriela Daza G,,4
Idalid Ceron,,2
Ikki Sergio,,2
Daniel Delgado,,2
sumire kim,,4
Rick R,,4
Diego Velazquez,,3
Israel Carrasco,,4
Lyly Lomeli Arreguin,,4
