username,review,calificacion
Ruy Carreño,"Nunca me ha decepcionado esta sucursal de Vips, su calidad y servicio es excelente.…",4
Shaker Box,Comida de regular a buena y la atención de indiferente a excelente (dependiendo el mesero),3
Grace Quero,Muy amables y agradable Restaurante ,4
Felipe Jimenez,"Te venden huevos divorciados con chilaquiles, así dice la carta, a no te dan escojer una guarnición gratis, pero NO o frijoles o chilaquiles, y aparte el paquete te incluye jugo de o fruta, yo y mi esposa pedimos jugo verde, nos cobraron 17…",2
ANIBAL CARLETTI FRANYUTI,"Han descuidado su sazón, un arroz que sabe a harina, un caldo tlalpeño que se sazono con condimentos artificiales",1
Alan Medina,"Buen servicio, las meseras siempre en vips son muy atentas.",4
Elide Montero,Buen lugar,3
Alejandro Reyes,Buen servicio,3
FAMR_Ing Mena,La comida es buena y el servicio excelente ,3
Rogelio Menendez,"Buen lugar, comida floja pero pasable, mal servicio.",3
Hameyalli Elizalde,Buen lugar.,4
roxi R P,"Buen lugar para desayunar, comer y cenar!! Además de tomar el café.",4
Alexander Mayen sandoval,Exelente trató y la comida deliciosa,4
Esteban K,"Un Vips, la persona que nos atendió, fue muy amable, el resto es standard de la cadena",2
Ivonne Mora,Excelente servicio,4
Estela Salgado,Excelente atención de la vendedora Elenita :D,4
Hector Caballero,Muy rico súper relax,3
Alfonso Fernandez,Ya urgía regresar a Vips. Se necesitaba mucho volver al restaurante. Siempre excelente,4
Josefina Ruiz,Buena atención.pero muchos lugares en la barra apartados gracias,3
Alejandro Mondragon,"Buena atención, presentación, amabilidad, cortesía y buen menú",4
Enrique García,Muy rico y limpio,3
Armando Ramirez,Buena atención.,4
rafael arredondo vargas,Agradable lugar.,3
SHLOMIT ORTIZ,"Me encanta desayunar ahí, la atención es excelente y cumplen con todas las normas de seguridad.",4
Alejandro Ruiz,"Menú reducido, buena atención.",1
norma islas,"Buena atención, me agrado casi todo menos el jugo de naranja, ya que no es natural y me faltó un pancito para mis chilaquiles, aparte de eso todo bien ",2
Zayil Gabriela O.R,Siguen protocolos de sana distancia muy rico y buen servicio,4
Sandra Bonilla galvez,Me tocó mal servicio martes 7:30 p.m. solo 1 cafe y frio,1
Jesús Malanco,Servicio bueno a secas. Había ya bastante gente. Solicitamos una bebida llegando y nunca la trajeron,3
PODER,La calidad de los platillos ha bajado demasiado. Los sabores tradicionales de VIPS dejaron de existir. La comida y el servicio cada vez son peores. Que tristeza.,1
Mónica Zarazúa,"No vale lo que cuesta, el lugar está pasable, el servicio bien, la comida no muy bien...",2
Chávez Herrera Diana Julissa,"Es un excelente lugar para desayunar a solas haciendo tus cosas o en compañía, sin olvidar su cordial atención en cada momento y la excelente preparación de sus platillos.",4
Claudia Basurto,Las porciones que sirven son muy pequeñas,1
Jesús González Blancas,Muy bien tengo casi 30 años yendo a desayunar y siempre he Sido atendido de manera muy especial,3
luis fierro,Ok bueno,4
francisco eduardo zaragoza ramirez de arellano,"Agradable, limpio y muy buen servicio",4
Marisol Villalon,Excelente servicio y muy rico todo,4
Ailen Velázquez,Muy buena la atención y los desayunos,4
Christian Arcega, cada ves peor ! Pfff ojalá regresará el vips de antaño !,1
Paola J. C.,"Muy buen servicio, desayuno rico aunque no exquisito",4
Wendy Sánchez,"El servicio muy bien , lamentablemente la comida se quedó un poco a ajo de mis espectativas",3
Luis Velazquez,Muy buen servicio y rapidez en la atención,3
juan pablo Toribio,El servicio excelente,3
Sam Bocanegra,Está muy tranquilo el ambiente y cómodo !!!,3
Mayra Salgado,"La atención no fue buena, pedí combo y no me dieron 2 cafés",0
Juan Francisco Álvarez Calvo,Excelente lugar para comer,4
Miguel Angel Gutti,Buena atención .. me gustó mucho ..muchas felicidades ..,4
yuritzi Rosales,Me encanta y la comida deliciosa ,4
Carlos Rodriguez,Excelente servicio y calidad pese a las condiciones de pandemia. Felicidades!,3
Fernando Cervantes,Lugar muy cómodo y tranquilo para comer,3
salome vargas,Excelente servicio,4
Adilene Silva,Muy buena atención,4
john goldberg,Muy buen servicio,4
Ame López,"BUEN SERVICIO, TRATO EXCELENTE.",4
Humberto Macip,No es la gran cosa en alimentos a la carta pero ya sabemos que cumple bien su propósito y por un precio justo no se puede pedir nada mas. Se los recomiendo si desean comer bien y tienen un bolsillo ajustado,3
Jose Camarillo,Falta mejorar atencion,2
Neri Abogados,Excelente servicio,4
Clara Bello,Estuvo buena la comida,3
Diego Jimenez Lopez,Buen servicio,2
Wenceslao Garcia,En remodelación 25 septiembre 2021,3
Pollo rocker,Buen lugar cómodo para platicar buen trato,3
Fernando Gabriel Renteria Gomez,Buen servicio,4
Antonio Neri,Muy bien,4
Elilopeza Aguilera,Buen servicio,4
Josue Ac,En general un lugar tranquilo y agradable para comer o tomar un café,3
Lorena Tobías,Excelente atención,2
Mario Peña Guillén,"Es un lugar ya tradicional en la zona poniente de la CDMX para ir con la familia, hacer negocios o ir con los amigos. La meritita verdad es que los baños ya se están cayendo de viejos, ahí no llegó la renovación Alsea. En general, la renovación del menú fue satisfactorio. La atención del personal es buena.",3
JOSE ANGEL AGUILA CHAVEZ,Buen Servicio... Agradable lugar!!!...,4
Moxa Zoé Sánchez,"Servicio de 10, buen lugar, aunque ya empieza haber mucha gente",4
Winnie Quiroz,"Buen servicio, todo súper limpio",3
Karla Tapia,Estacionamiento muy vigilado y buen servicio,3
JOSE FAUSTO AIRE NAVA,"Buena atención, con sus medidas de seguridad.",2
Paco Frías,"Una atención súper por parte de la mesera, que pena que ya no me acuerde de su nombre, pero de verdad mis respetos de atención.",4
Jesus Morales,El servicio es muy rápido y eficiente,3
lucero estrada,"Me gusta como te atienden, el precio razonable y muy tranquilo ",4
carol vela,"El lugar cumple con las normas de sanidad,la atención no a cambiado sigue siendo mala.",2
Ashley Orozco,"Buen servicio, sin embargo nos apresuran muchísimo al cierre",4
Roberto Rivas,Tranquio para una buena charla.,3
Alejandro Flores,"Un poco lenta la atención a las 11 p.m., primero me dicen que no hay consomé y que siempre si",2
Judith Arellano Rojas,"La verdad me estaba gustando ir , al ordenar unos tacos dorados de pollo me llega la mesera con esta presentación de guacamole . Ya ni dije nada , por que anteriormente le habia comentado que tenia tos y dolor de garganta le solicite un…",0
ma gg,Rica comida,4
Felisa Arredondo Martinez,Atienden rápido,2
Oscar Cortes,"No tienes que estar buscando para pedir, te ayudan para armas tus comidas, muy bien.",4
Tomas Aburto,Ya está muy viejo el restaurante. Le hace falta una renovación,4
Luis Ort Mar,Buena comida,4
Ricardo Serrano,"Excelente atención de dos personas de la 3ra edad, la mesera y el bar man. Claro ejemplo que nuestros adultos mayores aún tienen mucho que ofrecer. Felicitaciones a Vips por emplear a gente mayor.",4
Daniel Carreño,Buena atención de lo mejor Qué hay en Echegaray y sobre todo en Vips,4
Monica Perez,Buen servicio,4
Luis Gutierrez Tellez,"Buen servicio, buen alimento.",3
Guild Soul Recordings 360,"Le hace falta mucho mantenimiento empezando desde los sanitarios, una pequeña reinversión para renovar nunca es mala",3
Hugo Saenz,Comida bien atención muy bien,4
Hilario De Jesús claudio,MUY buena atención,4
Victor Hugo Guzman,Demasiado lentos de lo que ofrecía la carta solo había el 60%,2
Carlos Lugo seat satélite,Todo bien!!!,4
Jose Alfredo Alarcon,"Buena atención al cliente, y buen sazón, y una ubicación perfecta",3
victor aguilar,Buen servicio y buena comida. De preferencia por las mañanas,3
Mar Molina,Me gusta por que me queda cercas y tienen grandes promociones 2×1 buena atención y toman sus medidas por la contingencia . Y me encanta que hay donde estacionarse,4
ana garcia,Excelente servicio,4
Deyanira Bravo Madrid,El lugar es muy agradable y el personal te atiende muy bien,4
Carlos Adrián Alanis,Buen servicio,4
Mauro Garfias,Buen lugar,3
Matilda ARC,Buen servicio,4
Juan Martin Benitez Lugo,Todo muy bien gracias,4
Alfonso Fernández,Muy buen servicio,4
Dinorah Cordova,"La comida muy rica, pero a veces tarda un poco entiendo que a veces es por el exceso de pedidos.",2
Jose Trinidad Olalde,Buena atención,3
Omar Duran De la Rosa,Buena atención,3
Josefa Pedro Leon,Muy mala,0
ruben guillen,Muy amables y buena comida,4
ABEL MORA CEDILLO,Dan muy buena atención.,4
