username,review,calificacion
Diego Leon meyer,,0
Francisco Eduardo Orozco Lasterra,"Se tardan mucho en atender, tienes que estar pidiendo 3 o 4 veces para que te traigan un refresco, y eso que hay pocas mesas.",2
Jesús Sebastián González Oviedo,Excelente servicio,4
Mario Alberto Mayen Bolaños,Buena comida aunque muy lentos.,4
Amalia Reyes,"Fuimos como a la una de la tarde comimos bien, las medidas de seguridad fueron buenas!",3
Dorian Concepción Chávez Rodríguez,,3
Javier Tinoco Olmos,"Cumplen con las normas covid, aunque en otros países restayrantes si dejan sentarse a más de 4 personas juntas, ya que si vienen juntas lo normal es que vayan a estar en contacto estrecho.",3
Rafael Robles,,4
Peter Parker,Excelente servicio,4
David Gomez,Excelente lugar,4
waldo luna,Protocolos de sana distancia y tencion del personal excelentes.,4
Claudia Melo,,4
