username,review,calificacion
Samantha Olague,Rico y barato!,4
Ricardo Tinoco,"Sabor, atención, rapidez",4
Drayan Barrera Colin,Bien,4
CAPRAMEX,Servicio lento....,2
Manuel Vázquez,falta mas cuidado con los platos,3
Mireya,Mal sabor de la comida,0
LNF Mexico,Dos tres,0
Eva Gaytan,Recomendado,4
José Luis Carmona López,Nada fuera de lo común,2
Manny One,La atención y el ambiente,4
Lupe Calvo,,4
IVÁN PALMA QUIJADA,,4
Karen Vidal,,4
son mig,,4
Joselyn Romero,,2
Israel Doron,,4
erika lara,,4
Georgie Lynn Rivera Ayala (Ometéotl稲荷),,4
Gina Perez,,4
Antonio Aguirre,,4
Juan Alejo,,2
Héctor Bautista,,4
Cintia Rocio Peralta,,4
JO LIAM,,4
Luis Ramirez,,2
Vero Hernandez,,3
Anel Reyes,,2
David Escobedo,,3
Edgar Antonio,,4
guadalupe vidal juarez,,4
Moisés Cuevas,,3
Francisco J. Morales,,3
Marisela R L,,2
Manuel Gutierrez,,4
Valentin Torres Z,,4
Kro Zamora,,4
victor esteban,,3
jesus “Mosco” camarena,,4
Luis Blas,,4
Mariñas Juan,,2
nacxit diaz,,3
Mariz Sanx,,3
Lizbeth Santiago,,3
Eli Perez,,4
