username,review,calificacion
David Mc.kubeat,"El concepto del lugar es realmente bueno aunque el servicio si deja mucho que desear, nos llevaron los platillos incompletos y las alitas del lugar en definitiva no son para nada buenas. Si n embargo sus papás son buenas al igual que los…",3
Edith Santillán,"Rico, bueno, sabroso !!!",4
Fernando Aguirre,No hay variedad...y el sabor regular,0
Roberto Pichardo,Riquísimo,4
Diana Velasquillo,"Cuentan con todas las medidas de sanitización, los precios son muy accesibles tal vez falta mejorar un poco la comida pero está rico.",3
Francisco Javier,Excelente lugar muy bonito ambiente disfrutas al 100 las conversaciones,4
Elizabeth Duran,Muy rico el menú diario el de hoy sopa marquesa las papas y enchiladas/ el chile en nogada delicioso . Y bien servido,4
Israel Herrera,"Excelente servicio, lugar muy bonito, desayunos y comidas muy ricas, excelentes precios.",3
Ere Espindola,Me encantó,4
Milton Rg,"Excelente atención, hay que apoyar a la los emprendedores, a gusto el lugar",4
Abigail Soriano,"Rico, agradable, buena música y precios accesibles!",4
Laura Aguilar,"Me encantó las terraza"" es un sitio muy limpio ,el personal es amable ,tiene calidad en su menu,y el precio es justo,y el ambiente es muy ameno,buen clima y servicio lo recomiendo ampliamente.",4
Edgar Cano Zuñiga,Muy buen lugar sanitizDo y organizado,3
Jeshua Romero Ocaña,"El lugar es muy muy agradable y la estetica me encanta al igual que los alrededores tranquilos, pero la comida, es buena pero no le veo nada de especial a comparacion de otras cafeterias y parece más un lugar de snacks que restaurante, aun asi disfrute todo en general",3
MONICA RAMIREZ,"Cumple con las medidas sanitarias, excelente servicio, les recomiendo probar el pozole, es un lugar muy agradable.",4
Alejandro Turcott,Pésimo servicio,0
Adela Villaseñor,"Excelente atención,delicioso ,pulcro, bonito lugar",4
Ana Cruz,"Muuuy bonito el lugar pero super lento el servicio, la comida bien.",2
Luis Gallardo Drummer,Es muy tardado el servicio,3
Kike Guillermo,"Comencé a ir hace un año aproximadamente, todo perfectamente, últimamente ha decaído mucho la calidad, disminuyeron las porciones considerablemente y no te atienden como debe ser, es una lástima pero lo que sobra es competencia.",1
Alberto Medina,Excelente servicio y alimentos,4
Alicia Glz,"Comida deliciosa, y antojitos los viernes, el pozole verde estilo Guerrero, de lo mejor.",4
sonia solisreyna,"Me gusto mucho, muy rico y buena atención, sanitizado y limpio",3
batipodri,"Agradable lugar, muy buena atención y todo muy rico",4
Marco Antonio Del Angel,Muy simpático el lugar y el personal muy amable.,4
Maria Elena Garcia Cruz,"Muy limpio, comida ejecutiva con precios accesibles y muy buena atención.",4
Téllez Javier Elsa Citlali,Muy agradable y sabor excelente,3
Ricardo Garcia,Excelente servicio y la calidad de los platillos es de 10,4
Anaid Rubio,"Excelente servicio, atención y calidad en la comida",4
Lucesita,Rico y económico,4
giselle vedia,Hay buenas opciones.,3
Karlos Puente,Excelente servicio y atención! 100% recomendable,4
Bettina,Buen servicio y precios!!,4
Diego García,Desayunos muy ricos y baratos,4
Sergio Cervantes,"Un buen lugar para tomar un rico café, comer y cenar, la atención es muy buena! Los felicito!! Un fuerte abrazo y nos vemos pronto...",3
Elizabeth Santoyo Rodriguez,Riquísimo,4
Martha Patricia Osorio Mora,Comida deliciosa,4
Elizabeth Connie Puente,"Delicioso, excelente servicio, ambiente familiar, buena ubicación, amplio menú",4
Alejandra Vazquez,"Tardan un buen en traer la comida... Las alitas no son fritas, el pellejo está crudo..... Incomibles!",1
Claudia Tomasini,Excelente lugar para desayunar. Amplia variedad para quienes gustamos de opciones con huevo. Precios accesibles y ambiente más que agradable!!!,4
eli Silva,Excelente servicio!!!! Muy rico todo!!! precios accesibles,4
Bere Maak,"Recomendable este lugar para ir en pareja o en familia, un ambiente informal casual. En general, los platillos tienen buena calidad y están bien preparados, los…",4
lucia luna,Me encanto,4
Liliana De La Cruz,Delicioso y muy buen servicio,4
Joshuan Lavana,Buenardo ,3
Luisa Ruiz,"Un lugar muy lindo, la atención excelente y los alimentos muy ricos y buenos precios. Definitivamente lo recomendamos ampliamente.",4
Héctor Auditore,"Es un lugar muy agradable , súper atención , no le encuentro un pero , saludos",3
josue motta rosas,Muy bien lugar para pasar con familia y amigos un buen rato,4
Andrea Esparza,"Muy buen lugar, precios económicos y buenísima atención por parte del personal. Lo único malo es que no tienen cambiador para bebés y es algo que me resulta de mucha importancia por ser mamá.",3
Heriberto Rojo,Excelente para comer algo rápido. Las donas son muy buenas.,3
Federico I Noe,"Buena atención, todo está muy bien la comida está muy rica y variada, me gustaría el café con refil",3
pitt quezada,Pesimo servicio 40 minutos para unas enfrigoladas. Y las traen y frias.. si no pueden atender a los comensales o contratar mas personal que mejor cierren el lugar,0
Seriiku Bubulshy,"Comida super deliciosa y atención de primera. El jugo de naranja me parece lamentable, pero todo lo demás amerita sus cinco estrellas.",4
Doris Coronado,"Comida rica a buen precio, musica en vivo super padre y un cálido ambiente.",4
Clara Bello,"Muy buen sabor de los alimentos,muy buena atención de los meseros y meseras y el servicio a domicilio con muy buen tiempo",4
Ricardo Eden Melesio,Me encanta este lugar lo recomiendo mucho,4
Mireya Rico C Rico,Buena cafeteria para pasar un rato con los amigos,3
Mary CP,Baños sucios tardan mucho con los alimentos,0
Illie Cisneros,Servicio muy lento.,3
Magaly Espadas,Sin comentarios......,0
Oscar Alonso,Agradable muy local pero suficiente y excelente atención.,3
Luis Alvarez,"Bien por menú ejecutivo, el ambiente, la atención. Ánimo",4
Julia Martinez,Fin de semana de mariscos deliciosos!,4
