username,review,calificacion
Francisco TB,,4
Samuel Ornelas,,4
Guillermo Rendon,,3
Germán Heredia. Ortiz,,3
Mauricio Morales,,4
Eduardo Escudero,,4
Hector Gracida,,2
Raquel Ferrer,,3
Arturo Gallardo,,4
NORMA ANGELICA LARA GUTIERREZ,,3
Lupy Mayorga,,3
Sweet Moon,,4
KAREN CONTRERAS,,3
Juan Pablo Díaz Ezcurdia,,4
Jacqueline Ramirez,,4
Pablo Gutierrez Bobadilla,,4
JAIR GONZALEZ,,4
Manuel Torres,,2
Bruno Diaz,,4
GABRIEL AGATON,,3
Lic. Antonio Carranza,,3
César Gómez,,3
Gab To,,4
Juan Carlos Ruiz Aguirre,,4
Nancy Pamela Pineda Peña,,4
Ara Tovar,,4
Bobby,,0
Gustavo Avila,,3
Ángel G. Pérez,,3
Sxntx Prz,,4
Julie V.,,4
Krloz Yañez,,4
Jose Luis Sotelo Rosas,,4
David Alva Gutiérrez,,4
Sabas Cortes,,3
David Montenegro,,4
miguel cuellar,,3
Guillermo Osorio,,2
Liz Salazar,,3
Norma Patricia Vallejo Valenzuela,,2
Su Diaz Klaus,,4
Alfonso Espino Gonzalez Alfonso,,3
Felipe Soto,,3
