username,review,calificacion
Enrique Mojica,"Hay que llegar temprano para obtener lugar, el tiempo de espera puede ser largo, el lugar es pequeño. Las reservaciones para fines de semana se realizan con 2 a 3 dias de anticipación. La comida es buena, la atención es excelente.",3
Georgina Morales,"Esta rico, la barra de ensaladas llena todo el tiempo y los meseros muy atentos. Sin embargo, el lugar es pequeño, llega a sentirse uno medio amontonado y se escucha mucho argüende. La barra de ensaladas no tiene mucha variedad y tampoco los cortes de carne. Buen sazón. Me la pase muy bien.",3
Ricardo E. Huizar,"De principio el servicio excelente, la atención y trato del personal muy bueno, las medidas de sanidad excelentes, el problema está en el exceso de sal de los alimentos, todo muy salado y no se aprecia el sabor de la comida, por lo menos…",2
Alexis Javivi Rivera,"Un lugar pequeño pero agradable, los meseros atentos y la comida como otras sucursales.",4
miriam altamirano,Muy agradable lugar,3
Daniel Villanueva González,"Buen lugar muy limpio, respetando las medidas de sana distancia.",3
Brenda Canales,"Súper rico y muy atentos!!!! Las espadas son muy ricas y tienen variedad, las guarniciones también súper deliciosas!!  ya quiero volver otra vez.... ",4
omar leon,"Muy buena la comida y las guarniciones son muy variadas, los cortes puedes comerlos las veces que quieras y es carne de buena calidad",4
Ak Al,"Excelente lugar para disfrutar unos cortes, excelente la barra de guarniciones perfectas para acompañar tu comida, excelente atención aunque de pronto tardan mucho por qué hay mucha gente",4
Heber Ventura,"Excelente precio en todo, la calidad de los cortes es buena y con buena cocción.",4
Pablo ivan Ruiz Ayala,"El servicio es lo único que se rescata del lugar por que la comida es escasa así como su mi Ibarra de ensaladas haaa y no hapostres, este lugar no hace honor al",1
Lucila Guadalupe Vargas Padilla,"Es muy rico, el servicio es muy rápido, limpio y variado. El costo es proporcional al servicio.",4
zaira olvera,Excelente atención x parte del mesero Obed.... Regresaría,4
SANDRA PEREZ,"Todo muy bien, sólo que se tardan con las carnes y pues nadamas carrerean",3
anuncios Jea,"Muy buen lugar para comer, excelente cortes y magnífica atención del personal que te atiende…",3
Nemesio Gudiño,Muy buenas medidas de sanidad y muy rica la variedad de carnes se los recomiendo,4
nohemi gomez,"Execelente todo súper delicioso, la atención, los cortes, las ensaladas, las pastas En general todos",4
Maricela Chávez,"Excelente servicio, riquísima comida , muy recomendable , y bastante accesible económicamente",4
Manuel HG,"La barra de ensaladas es buena sin ser excelente, la carne en las espadas es buena pero siento a que no cuidan mucho la temperatura, el pan de ajo no es nada bueno y los drinks son cumplidores, lo recomiendo para un día con hambre.",3
PETER TOCH,Buen lugar para deleitar su menú,4
Alejandro Alamar,"Muy buen lugar, a pesar de tener mucha gente esperas por mucho 25 minutos, y eso que ibamos un grupo grande de personas",4
Alffito Otiffla,"El servicio es muy deficiente, las espadas las sirven frías y el producto es viejo y duro, las ensaladas sin sabor y unas demaciado saladas, el valet cobra de más por eso no lo recomiendo; veremos nuevos churrascos.",1
Totik Mc2,"No me gustó mucho, su barra es limitada y en mi opinión son pocos meseros para el lugar. La atención del personal si es buena.",3
Carlos Martinez,"Pésimo, la espera es de mas de una hora para ingresar, falta de organización en la barra de ensaladas. El servicio es tardado en general. La atención de la hostess es poco amable.",0
Alfredo Escobedo,"Es muy buen lugar con excelente calidad creo que mi único pero, es donde estacionarse y los largos tiempos de espera para entrar",4
NIVEK ROM ROM,"Un lugar concurrido más en fines de semana, lugar familiar con barra de ensalada y complementos variados música adoc en vivo, de lo que pude probar el más jugoso la costilla, la picañay salchicha brasileña, el clericot muy bueno con un vino chileno",3
Alis DS,"Excelente atención, alimentos y bebidas muy ricos, lo único malo, que es pequeño el lugar y poca ventilación, había mucha gente. Los valet parking excelente atención.",3
Roberto Ramirez,"Excelente servicio; los meseros y capitanes fueron muy amables. El lugar está muy limpio, al igual que respetan las medidas sanitarias y la comida estuvo deliciosa.",4
Mario De La Rosa,Un buen lugar para comer con la familia novia amigos. Excelente servicio de los meseros.,4
Sergio Salinas,"Gran lugar, la atención al cliente es muy especial, la barra de ensaladas está muy bien, el sabor de los cortes Excelente, no es tan caro.",4
Juan carlos Pérez jimenez,Buena atención y muy rica la comida,4
Emmanuel Olvera,El sirvisio 100 porciento un lugar agradable,4
José Hilario Hernández P.,Excelente comida y tambien las medidas preventivas VS Cobid,2
Rebeca Magaña,"La carne ya es de mala calidad y oo primero que te sirven son los embutidos y hasta después te llevan los Cortes, todo por eso me voy regresar a la grange",0
Fernando Garcia,Muy buena comida y los. cortes exquisitos,3
Andres Domínguez,Buen lugar. Sólo q. Un poco descuidado,2
minigour minimal gourmette,"Delicioso, pidan salchichas  y molleja de res ",4
Jess Lagopus,Remontando. Después de de la decepción que tuve hace 6 meses atrás hoy vengo y me encuentro con un atención EXCELENTE!  Cortes surtidos y muy ricos. Muy buen ambiente familiar y a pesar de llegar a las 17hs no esperamos mucho para que nos…,4
Mauricio Segura,Esta muy rico todo,4
Maryanne Sosa,Los meseros súper atentos para ayudarte a tener una buena experiencia con los cuidados pertinentes. La comida rica como siempre y la atención rápida y eficiente,4
Emma Laura Alvarado Eriza,"Pésimo servicio, personal muy grosero y déspota, alimentos muy salados y poca variedad. Jamás regresaría.",0
Oscar Nox,"Excelente comida, precios y servicio .",4
Rodrigo Casas,Muy bueno,4
